No.,Word,Pinyin,POS,Topic,Definition,HSK Level
1,爱,ài,动词,日常生活与情感,to love; to like,HSK 3.0 Level 1
2,八,bā,数词,语法功能词,eight,HSK 3.0 Level 1
3,爸爸,bàba,名词,日常生活与情感,father; dad,HSK 3.0 Level 1
4,吧,ba,助词,语法功能词,(suggestion/modal particle),HSK 3.0 Level 1
5,白天,báitiān,名词,科技与环境,daytime; day,HSK 3.0 Level 1
6,百,bǎi,数词,语法功能词,hundred,HSK 3.0 Level 1
7,半,bàn,数词,语法功能词,half,HSK 3.0 Level 1
8,包子,bāozi,名词,日常生活与情感,steamed stuffed bun,HSK 3.0 Level 1
9,杯子,bēizi,名词,日常生活与情感,cup; glass,HSK 3.0 Level 1
10,本,běn,量词,语法功能词,measure word for books,HSK 3.0 Level 1
11,边,biān,名词,日常生活与情感,side; border,HSK 3.0 Level 1
12,病,bìng,名词,健康与运动,illness; disease; to fall ill,HSK 3.0 Level 1
13,不,bù,副词,语法功能词,not; no,HSK 3.0 Level 1
14,不客气,bú kèqi,形容词,人际交往,you are welcome; polite,HSK 3.0 Level 1
15,不要,búyào,动词,日常生活与情感,do not want; do not; must not,HSK 3.0 Level 1
16,菜,cài,名词,日常生活与情感,dish; vegetable,HSK 3.0 Level 1
17,茶,chá,名词,日常生活与情感,tea,HSK 3.0 Level 1
18,唱,chàng,动词,消费与休闲,to sing,HSK 3.0 Level 1
19,超市,chāoshì,名词,消费与休闲,supermarket,HSK 3.0 Level 1
20,车,chē,名词,旅行与交通,vehicle; car,HSK 3.0 Level 1
21,吃,chī,动词,日常生活与情感,to eat,HSK 3.0 Level 1
22,出租车,chūzūchē,名词,旅行与交通,taxi; cab,HSK 3.0 Level 1
23,穿,chuān,动词,日常生活与情感,to wear; to put on,HSK 3.0 Level 1
24,打电话,dǎ diànhuà,动词,人际交往,to make a phone call,HSK 3.0 Level 1
25,大,dà,形容词,日常生活与情感,big; large,HSK 3.0 Level 1
26,大家,dàjiā,代词,语法功能词,everyone; all,HSK 3.0 Level 1
27,大学,dàxué,名词,职场与教育,university; college,HSK 3.0 Level 1
28,大学生,dàxuéshēng,名词,职场与教育,university student; college student,HSK 3.0 Level 1
29,到,dào,动词,旅行与交通,to arrive; to reach,HSK 3.0 Level 1
30,的,de,助词,语法功能词,of; (possessive particle),HSK 3.0 Level 1
31,第,dì,前缀,语法功能词,"(prefix indicating ordinal numbers, e.g. first)",HSK 3.0 Level 1
32,弟弟,dìdi,名词,日常生活与情感,younger brother,HSK 3.0 Level 1
33,点,diǎn,量词,日常生活与情感,o'clock; a little bit,HSK 3.0 Level 1
34,店,diàn,名词,消费与休闲,shop; store,HSK 3.0 Level 1
35,电话,diànhuà,名词,人际交往,telephone; phone,HSK 3.0 Level 1
36,电脑,diànnǎo,名词,科技与环境,computer,HSK 3.0 Level 1
37,电视,diànshì,名词,科技与环境,television; TV,HSK 3.0 Level 1
38,电影,diànyǐng,名词,消费与休闲,movie; film,HSK 3.0 Level 1
39,电影院,diànyǐngyuàn,名词,消费与休闲,cinema; movie theater,HSK 3.0 Level 1
40,东西,dōngxi,名词,消费与休闲,thing; object,HSK 3.0 Level 1
41,都,dōu,副词,语法功能词,all; both; already,HSK 3.0 Level 1
42,读,dú,动词,职场与教育,to read; to study,HSK 3.0 Level 1
43,读书,dúshū,动词,职场与教育,to read; to study; to attend school,HSK 3.0 Level 1
44,对,duì,形容词,日常生活与情感,right; correct; towards,HSK 3.0 Level 1
45,对不起,duìbuqǐ,动词,人际交往,I am sorry; excuse me,HSK 3.0 Level 1
46,多,duō,形容词,日常生活与情感,many; much,HSK 3.0 Level 1
47,多少,duōshao,代词,语法功能词,how many; how much,HSK 3.0 Level 1
48,儿子,érzi,名词,日常生活与情感,son,HSK 3.0 Level 1
49,二,èr,数词,语法功能词,two,HSK 3.0 Level 1
50,饭,fàn,名词,日常生活与情感,meal; cooked rice,HSK 3.0 Level 1
51,饭店,fàndiàn,名词,消费与休闲,restaurant; hotel,HSK 3.0 Level 1
52,房间,fángjiān,名词,日常生活与情感,room,HSK 3.0 Level 1
53,非常,fēicháng,副词,语法功能词,very; extremely,HSK 3.0 Level 1
54,飞机,fēijī,名词,旅行与交通,airplane; plane,HSK 3.0 Level 1
55,分,fēn,量词,语法功能词,minute; point; cent,HSK 3.0 Level 1
56,分钟,fēnzhōng,名词,日常生活与情感,minute,HSK 3.0 Level 1
57,高兴,gāoxìng,形容词,日常生活与情感,happy; glad,HSK 3.0 Level 1
58,歌,gē,名词,消费与休闲,song,HSK 3.0 Level 1
59,哥哥,gēge,名词,日常生活与情感,elder brother,HSK 3.0 Level 1
60,个,gè,量词,语法功能词,general measure word,HSK 3.0 Level 1
61,给,gěi,动词,人际交往,to give; to grant; for; to,HSK 3.0 Level 1
62,公司,gōngsī,名词,职场与教育,company; corporation,HSK 3.0 Level 1
63,工作,gōngzuò,动词,职场与教育,to work; job,HSK 3.0 Level 1
64,狗,gǒu,名词,日常生活与情感,dog,HSK 3.0 Level 1
65,贵,guì,形容词,消费与休闲,expensive; costly,HSK 3.0 Level 1
66,国,guó,名词,旅行与交通,country; nation,HSK 3.0 Level 1
67,还,hái,副词,语法功能词,still; also; yet,HSK 3.0 Level 1
68,孩子,háizi,名词,日常生活与情感,child; children,HSK 3.0 Level 1
69,汉语,Hànyǔ,名词,职场与教育,Chinese language; Mandarin,HSK 3.0 Level 1
70,汉字,Hànzì,名词,职场与教育,Chinese character,HSK 3.0 Level 1
71,好,hǎo,形容词,日常生活与情感,good; fine,HSK 3.0 Level 1
72,好吃,hǎochī,形容词,日常生活与情感,delicious; tasty,HSK 3.0 Level 1
73,好看,hǎokàn,形容词,日常生活与情感,good-looking; beautiful; nice,HSK 3.0 Level 1
74,好听,hǎotīng,形容词,日常生活与情感,pleasant to hear; sweet-sounding,HSK 3.0 Level 1
75,好玩儿,hǎowánr,形容词,消费与休闲,fun; amusing; interesting,HSK 3.0 Level 1
